COURSE_SK,COLLABORATOR_SK
1,1
1,11
2,41
12,45
28,49
30,29
38,42
42,4
12,35
47,7
88,42
30,30
33,42
61,43
70,49
75,23
89,37
58,8
73,5
78,3
81,24
51,37
68,45
75,56
79,46
116,16
15,15
46,42
71,46
76,56
88,49
103,56
110,8
91,48
105,36
10,25
10,40
27,54
39,44
53,46
10,29
24,3
35,37
52,5
62,51
5,2
20,3
43,42
85,20
95,28
99,6
48,4
48,35
67,33
115,36
24,42
55,49
90,23
96,8
101,20
111,8
104,32
98,6
114,46
5,35
14,26
57,35
5,14
9,35
25,4
45,48
76,23
32,45
42,35
44,35
55,42
69,37
106,33
63,10
79,23
80,49
108,10
116,4
70,42
74,22
78,42
78,49
98,4
101,39
112,7
105,29
116,35
2,12
3,1
3,11
4,34
17,12
21,35
31,42
32,49
36,18
70,45
4,41
18,13
49,29
53,22
60,42
82,53
94,46
104,3
109,43
115,29
36,28
39,35
43,49
79,19
65,37
86,19
113,10
50,41
16,35
29,37
16,49
41,6
66,13
72,42
95,22
83,31
4,49
24,36
28,42
29,54
58,42
36,22
37,29
40,42
50,52
58,49
77,22
97,46
88,3
107,29
113,22
24,35
45,23
82,49
89,23
13,35
68,30
80,42
88,5
92,8
93,42
95,10
107,30
114,13
112,10
28,27
73,42
13,42
22,54
23,46
25,35
43,8
102,42
32,42
103,2
35,55
55,35
11,15
28,5
37,33
56,7
59,5
68,36
38,35
47,18
56,18
65,55
71,48
107,36
87,23
57,14
82,42
94,39
103,20
106,29
8,42
9,42
69,55
97,6
21,4
34,17
84,35
90,19
14,50
26,37
42,16
16,42
39,51
40,5
61,47
67,36
81,49
87,6
96,42
110,42
72,21
104,41
23,35
41,46
64,56
98,23
109,46
91,38
61,9
9,44
11,16
40,49
5,13
6,35
74,10
20,35
26,20
46,49
51,55
64,23
80,8
109,47
30,36
37,36
44,51
63,7
25,16
74,28
94,23
115,30
54,42
72,49
83,8
85,19
86,46
91,10
100,22
106,36
99,9
77,23
110,49
