COURSE_SK,INSTRUCTOR_SK,ROLE,INSTRUCTOR_ORDER
68,103,COLLABORATOR,3
4,69,COLLABORATOR,1
88,72,INSTRUCTOR,1
76,136,COLLABORATOR,2
28,135,COLLABORATOR,1
43,203,COLLABORATOR,3
20,166,INSTRUCTOR,1
54,135,COLLABORATOR,1
60,138,INSTRUCTOR,1
105,166,COLLABORATOR,1
25,233,COLLABORATOR,3
88,135,COLLABORATOR,1
48,232,COLLABORATOR,1
48,74,INSTRUCTOR,1
73,137,INSTRUCTOR,1
86,164,COLLABORATOR,1
92,239,INSTRUCTOR,1
12,103,COLLABORATOR,2
9,166,INSTRUCTOR,1
30,166,COLLABORATOR,1
43,135,COLLABORATOR,1
85,164,COLLABORATOR,1
69,231,COLLABORATOR,1
91,44,COLLABORATOR,1
51,231,COLLABORATOR,1
104,1,COLLABORATOR,2
24,2,INSTRUCTOR,2
30,6,COLLABORATOR,2
40,30,INSTRUCTOR,2
4,68,INSTRUCTOR,1
110,69,COLLABORATOR,2
82,69,COLLABORATOR,3
39,73,COLLABORATOR,3
57,33,INSTRUCTOR,1
95,44,COLLABORATOR,1
58,69,COLLABORATOR,2
79,243,INSTRUCTOR,1
18,232,INSTRUCTOR,1
56,170,INSTRUCTOR,1
115,6,COLLABORATOR,2
78,69,COLLABORATOR,3
11,164,INSTRUCTOR,1
116,32,INSTRUCTOR,1
49,166,INSTRUCTOR,1
36,201,INSTRUCTOR,1
11,233,COLLABORATOR,2
14,42,COLLABORATOR,1
40,135,COLLABORATOR,1
111,203,COLLABORATOR,1
1,231,INSTRUCTOR,1
105,173,INSTRUCTOR,1
49,6,COLLABORATOR,1
31,135,COLLABORATOR,1
8,135,COLLABORATOR,1
23,174,INSTRUCTOR,1
41,175,INSTRUCTOR,1
40,69,INSTRUCTOR,1
70,103,COLLABORATOR,3
9,135,COLLABORATOR,2
42,232,COLLABORATOR,1
97,107,INSTRUCTOR,1
40,69,COLLABORATOR,2
50,78,COLLABORATOR,1
50,1,COLLABORATOR,2
82,5,INSTRUCTOR,1
94,41,INSTRUCTOR,1
58,101,INSTRUCTOR,1
45,202,INSTRUCTOR,1
31,70,INSTRUCTOR,1
28,137,INSTRUCTOR,1
54,206,INSTRUCTOR,1
115,40,INSTRUCTOR,1
55,69,COLLABORATOR,3
86,71,INSTRUCTOR,1
16,99,INSTRUCTOR,1
5,104,COLLABORATOR,2
38,166,INSTRUCTOR,1
115,166,COLLABORATOR,1
104,113,COLLABORATOR,1
78,176,INSTRUCTOR,1
12,135,INSTRUCTOR,1
55,135,COLLABORATOR,2
58,135,COLLABORATOR,1
110,203,COLLABORATOR,3
46,69,COLLABORATOR,2
109,179,INSTRUCTOR,1
15,233,INSTRUCTOR,1
85,8,INSTRUCTOR,1
102,135,COLLABORATOR,1
116,233,COLLABORATOR,1
46,135,COLLABORATOR,1
110,135,COLLABORATOR,1
26,143,COLLABORATOR,2
19,165,INSTRUCTOR,3
96,203,COLLABORATOR,2
84,69,INSTRUCTOR,1
20,73,INSTRUCTOR,2
89,177,INSTRUCTOR,1
10,6,COLLABORATOR,1
24,69,INSTRUCTOR,1
8,104,INSTRUCTOR,1
68,166,COLLABORATOR,1
