COURSE_SK,PREREQUISITE_COURSE_SK
27,3
53,5
71,9
16,19
24,29
75,29
93,60
103,9
52,29
3,1
5,3
22,3
35,9
113,23
20,26
106,9
13,19
89,36
51,29
67,38
74,113
33,52
95,76
18,5
31,8
36,9
77,9
96,32
113,63
56,9
39,44
46,28
70,29
78,29
58,33
87,9
107,9
52,12
34,15
20,18
102,54
69,9
114,9
55,24
29,27
72,35
46,29
94,29
87,51
98,51
115,68
112,63
42,26
64,3
30,5
57,5
34,7
24,9
98,9
32,27
85,30
81,88
68,49
78,9
28,12
47,25
92,80
73,29
116,42
82,55
79,9
105,9
44,18
72,24
41,27
49,45
66,58
54,33
47,9
9,18
33,28
90,65
99,51
80,55
45,29
23,1
12,3
91,3
21,5
63,5
85,9
86,9
62,39
101,76
65,9
73,9
76,9
83,12
25,29
40,55
100,76
61,3
108,5
109,9
25,21
48,45
80,73
74,9
42,18
60,29
97,51
111,55
88,55
110,55
89,56
110,32
59,52
43,16
97,76
74,63
115,41
