COURSE_SNAPSHOT_SK,COURSE_SK,SNAPSHOT_DATE_SK,NB_OF_SUBSCRIPTIONS,NUM_CHAPTERS,NUM_EXERCISES,NUM_VIDEOS,DATASETS_COUNT,LOAD_TS
1,1,3,6445484,4,46,11,3,2025-11-24 20:05:38.173
2,2,3,294907,4,51,16,1,2025-11-24 20:05:38.173
3,3,3,1267422,5,87,18,4,2025-11-24 20:05:38.173
4,4,3,87338,3,29,11,1,2025-11-24 20:05:38.173
5,5,3,492541,4,56,15,5,2025-11-24 20:05:38.173
6,6,3,368658,2,27,8,1,2025-11-24 20:05:38.173
7,7,3,778781,4,47,15,1,2025-11-24 20:05:38.173
8,8,3,14308,3,27,10,1,2025-11-24 20:05:38.173
9,9,3,220945,4,49,15,4,2025-11-24 20:05:38.173
10,10,3,92613,3,39,12,0,2025-11-24 20:05:38.173
11,11,3,304088,3,32,11,2,2025-11-24 20:05:38.173
12,12,3,74243,3,29,9,1,2025-11-24 20:05:38.173
13,13,3,69470,4,43,14,1,2025-11-24 20:05:38.173
14,14,3,110693,3,31,10,0,2025-11-24 20:05:38.173
15,15,3,227694,4,41,14,0,2025-11-24 20:05:38.173
16,16,3,66747,4,50,15,0,2025-11-24 20:05:38.173
17,17,3,48015,3,30,11,1,2025-11-24 20:05:38.173
18,18,3,160474,4,54,15,3,2025-11-24 20:05:38.173
19,19,3,254045,3,36,12,0,2025-11-24 20:05:38.173
20,20,3,85057,4,49,14,5,2025-11-24 20:05:38.173
21,21,3,194673,4,51,15,23,2025-11-24 20:05:38.173
22,22,3,319449,3,50,15,9,2025-11-24 20:05:38.173
23,23,3,212104,4,44,14,5,2025-11-24 20:05:38.173
24,24,3,62344,4,49,16,2,2025-11-24 20:05:38.173
25,25,3,140166,4,44,13,5,2025-11-24 20:05:38.173
26,26,3,159213,4,44,14,4,2025-11-24 20:05:38.173
27,27,3,449436,3,44,10,1,2025-11-24 20:05:38.173
28,28,3,30454,4,55,15,0,2025-11-24 20:05:38.173
29,29,3,302634,3,46,12,2,2025-11-24 20:05:38.173
30,30,3,13123,3,36,11,2,2025-11-24 20:05:38.173
31,31,3,2341,3,29,10,1,2025-11-24 20:05:38.173
32,32,3,16188,2,26,8,4,2025-11-24 20:05:38.173
33,33,3,29367,3,33,10,0,2025-11-24 20:05:38.173
34,34,3,68280,4,50,16,0,2025-11-24 20:05:38.173
35,35,3,162994,4,52,13,8,2025-11-24 20:05:38.173
36,36,3,106491,5,57,15,4,2025-11-24 20:05:38.173
37,37,3,16533,2,23,7,0,2025-11-24 20:05:38.173
38,38,3,28339,3,43,12,0,2025-11-24 20:05:38.173
39,39,3,50462,4,50,15,4,2025-11-24 20:05:38.173
40,40,3,23333,3,34,11,0,2025-11-24 20:05:38.173
41,41,3,56526,4,51,15,0,2025-11-24 20:05:38.173
42,42,3,50721,4,53,14,5,2025-11-24 20:05:38.173
43,43,3,6602,3,37,12,0,2025-11-24 20:05:38.173
44,44,3,45962,4,51,15,3,2025-11-24 20:05:38.173
45,45,3,102397,4,46,15,0,2025-11-24 20:05:38.173
46,46,3,11465,3,36,11,0,2025-11-24 20:05:38.173
47,47,3,59625,5,62,20,4,2025-11-24 20:05:38.173
48,48,3,97792,4,44,13,0,2025-11-24 20:05:38.173
49,49,3,16137,3,37,11,0,2025-11-24 20:05:38.173
50,50,3,19829,3,38,12,0,2025-11-24 20:05:38.173
51,51,3,135895,4,51,15,4,2025-11-24 20:05:38.173
52,52,3,11910,3,37,11,3,2025-11-24 20:05:38.173
53,53,3,71617,4,48,14,2,2025-11-24 20:05:38.173
54,54,3,9206,3,38,12,5,2025-11-24 20:05:38.173
55,55,3,18899,4,51,15,5,2025-11-24 20:05:38.173
56,56,3,61497,4,44,13,0,2025-11-24 20:05:38.173
57,57,3,29962,4,52,15,4,2025-11-24 20:05:38.173
58,58,3,6060,3,34,11,0,2025-11-24 20:05:38.173
59,59,3,4158,3,39,12,2,2025-11-24 20:05:38.173
60,60,3,8840,2,21,7,0,2025-11-24 20:05:38.173
