TRACK_SUMMARY_SK,TRACK_SK,SNAPSHOT_DATE_SK,COURSE_COUNT,TOTAL_CHAPTERS,TOTAL_EXERCISES,TOTAL_VIDEOS,TOTAL_XP,AVG_XP_PER_COURSE,AVG_TIME_HOURS,TOTAL_DURATION_HOURS,DATASETS_COUNT,PARTICIPANT_COUNT,IS_CAREER_FLAG,PREDOMINANT_DIFFICULTY_SK,LOAD_TS
1,1,3,3,8,82,28,5350,1783.00,2.00,4.00,2,1319,false,1,2025-11-24 20:09:53.593
2,2,3,7,21,260,82,17250,2464.00,2.00,11.00,2,25877,false,1,2025-11-24 20:09:53.593
3,3,3,6,20,237,76,15400,2567.00,2.00,10.00,2,167748,false,1,2025-11-24 20:09:53.593
4,4,3,4,12,147,47,10250,2563.00,3.00,10.00,0,9351,false,1,2025-11-24 20:09:53.593
5,5,3,4,14,89,33,6950,1738.00,3.00,10.00,6,10830,false,1,2025-11-24 20:09:53.593
6,6,3,4,16,191,58,14750,3688.00,4.00,16.00,10,7952,false,2,2025-11-24 20:09:53.593
7,7,3,4,16,216,58,17550,4388.00,4.00,16.00,16,12746,false,2,2025-11-24 20:09:53.593
8,8,3,6,27,333,99,26050,4342.00,4.00,26.00,12,2140,false,2,2025-11-24 20:09:53.593
9,9,3,4,16,195,58,15750,3938.00,4.00,16.00,17,3100,false,2,2025-11-24 20:09:53.593
10,10,3,4,12,139,46,8300,2075.00,2.00,6.00,0,5997,false,1,2025-11-24 20:09:53.593
11,11,3,13,45,547,170,42650,3281.00,3.00,41.00,30,15584,true,2,2025-11-24 20:09:53.593
12,12,3,9,28,343,103,27500,3056.00,3.00,26.00,9,29043,true,1,2025-11-24 20:09:53.593
13,13,3,10,38,474,137,36100,3610.00,4.00,35.00,16,328237,true,1,2025-11-24 20:09:53.593
14,14,3,9,31,370,110,27100,3011.00,3.00,28.00,11,79019,true,1,2025-11-24 20:09:53.593
15,15,3,8,24,283,85,22600,2825.00,3.00,24.00,13,198,true,1,2025-11-24 20:09:53.593
16,16,3,23,91,1170,327,94800,4122.00,4.00,90.00,108,488152,true,2,2025-11-24 20:09:53.593
